Knoten,Grad-Zentralität,Nähe-Zentralität,Zwischen-Zentralität
265, 0.0232068  , 0.215798 , 0.0019258   
266, 0.0221519  , 0.21048  , 0.0014285   
267, 0.0263713  , 0.217083 , 0.00176141  
268, 0.021097   , 0.216044 , 0.00210537  
269, 0.021097   , 0.217182 , 0.00121952  
270, 0.0232068  , 0.216983 , 0.00358896  
271, 0.0200422  , 0.161033 , 0.000354276 
272, 0.0189873  , 0.178733 , 0.0026633   
273, 0.0168776  , 0.178666 , 0.00307066  
274, 0.0158228  , 0.160923 , 0.000266362 
275, 0.0189873  , 0.161005 , 0.000357704 
276, 0.0179325  , 0.181993 , 0.00443641  
277, 0.0200422  , 0.182063 , 0.00320583  
278, 0.0200422  , 0.175361 , 0.0166527   
279, 0.0179325  , 0.160978 , 0.000337858 
280, 0.0189873  , 0.178733 , 0.00309744  
281, 0.0126582  , 0.160842 , 0.000198818 
282, 0.0189873  , 0.182028 , 0.00347864  
283, 0.0147679  , 0.212413 , 0.0641108   
284, 0.0232068  , 0.154953 , 3.64054e-05 
285, 0.0189873  , 0.154851 , 2.09574e-05 
286, 0.0137131  , 0.160869 , 0.000238015 
287, 0.0168776  , 0.160951 , 0.000207015 
288, 0.0179325  , 0.154826 , 1.59996e-05 
289, 0.0189873  , 0.154851 , 2.28181e-05 
290, 0.0147679  , 0.15475  , 1.05004e-05 
291, 0.0200422  , 0.154877 , 2.49973e-05 
292, 0.0179325  , 0.160978 , 0.000201339 
293, 0.0179325  , 0.154826 , 1.88305e-05 
294, 0.0126582  , 0.160842 , 0.00026079  
295, 0.0168776  , 0.181958 , 0.00298205  
296, 0.0179325  , 0.154826 , 1.64755e-05 
297, 0.021097   , 0.154902 , 2.69208e-05 
298, 0.0168776  , 0.154801 , 1.90299e-05 
299, 0.0168776  , 0.181958 , 0.00331436  
300, 0.021097   , 0.154902 , 3.28413e-05 
301, 0.0158228  , 0.181923 , 0.00246696  
302, 0.0179325  , 0.181993 , 0.0030894   
303, 0.0200422  , 0.182063 , 0.00423698  
304, 0.0126582  , 0.1547   , 7.97477e-06 
305, 0.0189873  , 0.182028 , 0.00330919  
306, 0.0232068  , 0.180194 , 0.00095008  
307, 0.0158228  , 0.168473 , 0.000164204 
308, 0.0168776  , 0.169619 , 0.000348102 
309, 0.0274262  , 0.195102 , 0.0189457   
310, 0.0242616  , 0.190591 , 0.00119878  
311, 0.0189873  , 0.166228 , 0.000193071 
312, 0.0242616  , 0.192331 , 0.0349446   
313, 0.0221519  , 0.17202  , 0.000561716 
314, 0.0242616  , 0.183863 , 0.00114578  
315, 0.021097   , 0.166287 , 0.000232705 
316, 0.0221519  , 0.187389 , 0.000964656 
317, 0.0189873  , 0.161968 , 2.07784e-05 
318, 0.0189873  , 0.1768   , 0.000613115 
319, 0.0253165  , 0.16755  , 0.000278962 
320, 0.021097   , 0.191786 , 0.00141464  
321, 0.0221519  , 0.16427  , 8.84287e-05 
322, 0.021097   , 0.176998 , 0.000647133 
323, 0.0242616  , 0.206626 , 0.035938    
324, 0.0242616  , 0.184257 , 0.001024    
