Knoten,Grad-Zentralität,Nähe-Zentralität,Zwischen-Zentralität
220, 0.01606    , 0.159114 , 0.000379647 
221, 0.01606    , 0.15906  , 0.000265973 
222, 0.0182013  , 0.154687 , 0.000466872 
223, 0.0224839  , 0.166074 , 0.00129545  
224, 0.0171306  , 0.151574 , 0.000128384 
225, 0.0203426  , 0.154738 , 0.000577345 
226, 0.01606    , 0.160674 , 0.000535346 
227, 0.0214133  , 0.159196 , 0.00054381  
228, 0.0203426  , 0.166015 , 0.000973087 
229, 0.0224839  , 0.159277 , 0.000533387 
230, 0.0182013  , 0.158225 , 0.000275771 
231, 0.0224839  , 0.16084  , 0.000742466 
232, 0.0246253  , 0.165691 , 0.000924782 
233, 0.0224839  , 0.181712 , 0.0549346   
234, 0.0267666  , 0.170004 , 0.00129354  
235, 0.0139186  , 0.1515   , 7.72695e-05 
236, 0.0182013  , 0.165956 , 0.00073542  
237, 0.0214133  , 0.158305 , 0.00058461  
238, 0.0235546  , 0.169911 , 0.00138345  
239, 0.0192719  , 0.159196 , 0.000621075 
240, 0.0182013  , 0.159114 , 0.000409069 
241, 0.0256959  , 0.177331 , 0.02845     
242, 0.0235546  , 0.169911 , 0.00137454  
243, 0.0224839  , 0.152689 , 0.000354574 
244, 0.0299786  , 0.163687 , 0.00111358  
245, 0.0203426  , 0.154738 , 0.000494944 
246, 0.0171306  , 0.159087 , 0.000412917 
247, 0.0299786  , 0.170097 , 0.00159856  
248, 0.0278373  , 0.154918 , 0.000772089 
249, 0.0246253  , 0.177567 , 0.0262553   
250, 0.0246253  , 0.166133 , 0.00120443  
251, 0.0246253  , 0.151747 , 0.00026745  
252, 0.0203426  , 0.154738 , 0.000473792 
253, 0.0203426  , 0.151648 , 0.000196104 
254, 0.0214133  , 0.179684 , 0.0321577   
255, 0.0224839  , 0.150718 , 1.99321e-05 
256, 0.0214133  , 0.170625 , 0.00131633  
257, 0.0224839  , 0.150718 , 2.02105e-05 
258, 0.0267666  , 0.162718 , 0.00141407  
259, 0.0214133  , 0.173735 , 0.0288818   
260, 0.0267666  , 0.176094 , 0.00304888  
261, 0.0235546  , 0.150742 , 2.14802e-05 
262, 0.0267666  , 0.170781 , 0.00203812  
263, 0.0224839  , 0.170656 , 0.00186399  
264, 0.0192719  , 0.173994 , 0.0325377   
265, 0.0235546  , 0.162633 , 0.00116541  
266, 0.0267666  , 0.170781 , 0.00214356  
267, 0.0289079  , 0.150864 , 3.43791e-05 
268, 0.0203426  , 0.162548 , 0.00117736  
269, 0.0235546  , 0.175994 , 0.00306572  
270, 0.0246253  , 0.171313 , 0.00218162  
271, 0.0235546  , 0.150742 , 2.40317e-05 
272, 0.0203426  , 0.150669 , 2.03672e-05 
273, 0.0246253  , 0.165485 , 0.00104722  
274, 0.0214133  , 0.150694 , 2.04638e-05 
275, 0.0331906  , 0.171565 , 0.00279087  
276, 0.0246253  , 0.176027 , 0.00299288  
277, 0.0256959  , 0.157531 , 0.00073195  
278, 0.0246253  , 0.157504 , 0.000701682 
279, 0.0235546  , 0.171282 , 0.00208611  
280, 0.0246253  , 0.170718 , 0.00190187  
281, 0.0246253  , 0.157504 , 0.000784322 
282, 0.0267666  , 0.170781 , 0.00167351  
283, 0.0256959  , 0.171345 , 0.0022354   
284, 0.0224839  , 0.150718 , 2.16556e-05 
285, 0.0224839  , 0.150718 , 2.25087e-05 
286, 0.0203426  , 0.170594 , 0.00187599  
287, 0.0267666  , 0.162718 , 0.0014022   
288, 0.0289079  , 0.157611 , 0.000962413 
289, 0.0182013  , 0.150621 , 1.29985e-05 
290, 0.0278373  , 0.170812 , 0.00188766  
291, 0.0235546  , 0.186427 , 0.0542892   
292, 0.0224839  , 0.150718 , 2.06571e-05 
293, 0.0203426  , 0.150669 , 1.88893e-05 
294, 0.0299786  , 0.170874 , 0.00208428  
295, 0.0214133  , 0.165398 , 0.000981329 
296, 0.0203426  , 0.170594 , 0.00162758  
297, 0.0256959  , 0.165515 , 0.00137335  
298, 0.0246253  , 0.170718 , 0.00170894  
299, 0.0246253  , 0.150767 , 2.95839e-05 
300, 0.0235546  , 0.157478 , 0.000785486 
301, 0.0107066  , 0.184112 , 0.0520756   
302, 0.012848   , 0.168836 , 0.00174808  
303, 0.0149893  , 0.166845 , 0.00168057  
304, 0.0117773  , 0.15879  , 0.00127338  
305, 0.0182013  , 0.158952 , 0.00165044  
306, 0.00963597 , 0.157372 , 0.000315876 
307, 0.0139186  , 0.148868 , 1.61769e-05 
308, 0.00856531 , 0.159168 , 0.000673257 
309, 0.0171306  , 0.166905 , 0.00155822  
310, 0.0117773  , 0.157425 , 0.000264347 
311, 0.01606    , 0.174059 , 0.00351108  
312, 0.0117773  , 0.148821 , 9.55761e-06 
313, 0.00963597 , 0.157372 , 0.0003344   
314, 0.0139186  , 0.159304 , 0.00083836  
315, 0.0192719  , 0.165134 , 0.00289431  
316, 0.0149893  , 0.159331 , 0.00113192  
317, 0.0149893  , 0.158871 , 0.00119038  
318, 0.0171306  , 0.157557 , 0.000857442 
319, 0.0139186  , 0.148868 , 1.66478e-05 
320, 0.012848   , 0.184148 , 0.0423062   
321, 0.0149893  , 0.172963 , 0.0190951   
322, 0.0139186  , 0.148868 , 1.54172e-05 
323, 0.0192719  , 0.157611 , 0.00075019  
324, 0.00963597 , 0.164872 , 0.00124754  
325, 0.00963597 , 0.159196 , 0.000722259 
326, 0.0171306  , 0.157557 , 0.000633986 
327, 0.0192719  , 0.166965 , 0.00216541  
328, 0.0182013  , 0.166935 , 0.00201466  
329, 0.0149893  , 0.148892 , 1.9217e-05  
330, 0.01606    , 0.194098 , 0.000268171 
331, 0.0256959  , 0.219713 , 0.0473279   
332, 0.0321199  , 0.213779 , 0.00417281  
333, 0.0214133  , 0.189645 , 0.00132241  
334, 0.0224839  , 0.188649 , 0.00103236  
335, 0.0278373  , 0.198301 , 0.00152913  
336, 0.0171306  , 0.203663 , 0.0014182   
